matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
28,Michael Bradley,Zentrales Mittelfeld,Borussia Mönchengladbach,Markus Pröll,2:0,65',Eintracht Frankfurt,Borussia Mönchengladbach,4:1 ,2008/2009,0
31,Marko Marin,Offensives Mittelfeld,Borussia Mönchengladbach,Manuel Neuer,0:0,23',Borussia Mönchengladbach,FC Schalke 04,1:0 ,2008/2009,0
31,Boubacar Sanogo,Mittelstürmer,TSG 1899 Hoffenheim,Faryd Mondragón,2:0,79',TSG 1899 Hoffenheim,1.FC Köln,2:0 ,2008/2009,0
31,Franck Ribéry,Linksaußen,FC Bayern München,Gerhard Tremmel,1:3,90',FC Energie Cottbus,FC Bayern München,1:3 ,2008/2009,0
33,Marco Engelhardt,Defensives Mittelfeld,Karlsruher SC,Tim Wiese,0:0,3',SV Werder Bremen,Karlsruher SC,1:3 ,2008/2009,0
34,Ervin Skela,Offensives Mittelfeld,FC Energie Cottbus,René Adler,3:0,89',FC Energie Cottbus,Bayer 04 Leverkusen,3:0 ,2008/2009,0
18,David Kobylik,Zentrales Mittelfeld,Arminia Bielefeld,Andreas Reinke,0:0,25',Arminia Bielefeld,SV Werder Bremen,0:1 ,2005/2006,0
24,Mohamed Zidan,Hängende Spitze,1.FSV Mainz 05,Dennis Gentenaar,1:1,57',Borussia Dortmund,1.FSV Mainz 05,1:1 ,2005/2006,0
24,Thomas Brdaric,Mittelstürmer,Hannover 96,Frank Rost,1:2,74',Hannover 96,FC Schalke 04,1:2 ,2005/2006,0
26,Francisco Copado,Hängende Spitze,Eintracht Frankfurt,Georg Koch,3:2,35',Eintracht Frankfurt,MSV Duisburg,5:2 ,2005/2006,0
32,Miroslav Klose,Mittelstürmer,SV Werder Bremen,Georg Koch,0:2,30',MSV Duisburg,SV Werder Bremen,3:5 ,2005/2006,0
32,Robert Vittek,Mittelstürmer,1.FC Nürnberg,Kasey Keller,1:2,54',1.FC Nürnberg,Borussia Mönchengladbach,5:2 ,2005/2006,0
