matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
7,Jérôme Gondorf,Zentrales Mittelfeld,SV Darmstadt 98,Jonas Lössl,2:1,90',1.FSV Mainz 05,SV Darmstadt 98,2:1 ,2016/2017,1
7,Lukas Hinterseer,Mittelstürmer,FC Ingolstadt 04,Timo Horn,2:1,90',1.FC Köln,FC Ingolstadt 04,2:1 ,2016/2017,1
9,Vincenzo Grifo,Linksaußen,SC Freiburg,Felix Wiedwald,0:2,39',SV Werder Bremen,SC Freiburg,1:3 ,2016/2017,1
9,Yunus Malli,Offensives Mittelfeld,1.FSV Mainz 05,Örjan Nyland,1:0,51',1.FSV Mainz 05,FC Ingolstadt 04,2:0 ,2016/2017,1
10,Serge Gnabry,Rechtsaußen,SV Werder Bremen,Ralf Fährmann,2:1,42',FC Schalke 04,SV Werder Bremen,3:1 ,2016/2017,1
10,Ricardo Rodríguez,Linker Verteidiger,VfL Wolfsburg,Alexander Schwolow,0:3,86',SC Freiburg,VfL Wolfsburg,0:3 ,2016/2017,1
5,Niclas Füllkrug,Mittelstürmer,Hannover 96,Gregor Kobel,1:2,55',Hannover 96,TSG 1899 Hoffenheim,1:3 ,2018/2019,1
5,Max Kruse,Hängende Spitze,SV Werder Bremen,Rune Jarstein,3:1,66',SV Werder Bremen,Hertha BSC,3:1 ,2018/2019,1
5,Rouwen Hennings,Mittelstürmer,Fortuna Düsseldorf,Lukas Hradecky,1:2,90',Fortuna Düsseldorf,Bayer 04 Leverkusen,1:2 ,2018/2019,1
6,Vedad Ibisevic,Mittelstürmer,Hertha BSC,Manuel Neuer,1:0,23',Hertha BSC,FC Bayern München,2:0 ,2018/2019,1
6,Hanno Behrens,Zentrales Mittelfeld,1.FC Nürnberg,Michael Rensing,1:0,28',1.FC Nürnberg,Fortuna Düsseldorf,3:0 ,2018/2019,1
6,Alfred Finnbogason,Mittelstürmer,FC Augsburg,Alexander Schwolow,3:1,68',FC Augsburg,SC Freiburg,4:1 ,2018/2019,1
6,Andrej Kramaric,Mittelstürmer,TSG 1899 Hoffenheim,Péter Gulácsi,1:2,90',TSG 1899 Hoffenheim,RasenBallsport Leipzig,1:2 ,2018/2019,1
8,Hanno Behrens,Zentrales Mittelfeld,1.FC Nürnberg,Oliver Baumann,1:0,18',1.FC Nürnberg,TSG 1899 Hoffenheim,1:3 ,2018/2019,1
8,Sébastien Haller,Mittelstürmer,Eintracht Frankfurt,Michael Rensing,1:0,21',Eintracht Frankfurt,Fortuna Düsseldorf,7:1 ,2018/2019,1
9,Nils Petersen,Mittelstürmer,SC Freiburg,Yann Sommer,1:0,1',SC Freiburg,Borussia Mönchengladbach,3:1 ,2018/2019,1
8,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Marwin Hitz,2:2,75',VfL Wolfsburg,Bayer 04 Leverkusen,2:3 ,2010/2011,1
8,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Sven Ulreich,2:2,80',FC Schalke 04,VfB Stuttgart,2:2 ,2010/2011,1
8,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Logan Bailly,3:1,82',TSG 1899 Hoffenheim,Borussia Mönchengladbach,3:2 ,2010/2011,1
10,Theofanis Gekas,Mittelstürmer,Eintracht Frankfurt,Thomas Kessler,1:1,42',FC St. Pauli,Eintracht Frankfurt,1:3 ,2010/2011,1
10,Gylfi Sigurdsson,Offensives Mittelfeld,TSG 1899 Hoffenheim,Florian Fromlowitz,2:0,48',TSG 1899 Hoffenheim,Hannover 96,4:0 ,2010/2011,1
9,Diego,Offensives Mittelfeld,VfL Wolfsburg,Fabian Giefer,1:4,78',Fortuna Düsseldorf,VfL Wolfsburg,1:4 ,2012/2013,1
11,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Jaroslav Drobny,0:1,6',Hamburger SV,TSG 1899 Hoffenheim,2:1 ,2010/2011,1
11,Theofanis Gekas,Mittelstürmer,Eintracht Frankfurt,Diego Benaglio,3:0,55',Eintracht Frankfurt,VfL Wolfsburg,3:1 ,2010/2011,1
11,Papiss Demba Cissé,Mittelstürmer,SC Freiburg,Christian Wetklo,1:0,64',SC Freiburg,1.FSV Mainz 05,1:0 ,2010/2011,1
12,Christian Gentner,Zentrales Mittelfeld,VfB Stuttgart,Tobias Sippel,0:3,50',1.FC Kaiserslautern,VfB Stuttgart,3:3 ,2010/2011,1
10,Roberto Firmino,Mittelstürmer,TSG 1899 Hoffenheim,Lars Unnerstall,2:1,67',TSG 1899 Hoffenheim,FC Schalke 04,3:2 ,2012/2013,1
10,Daniel Caligiuri,Rechtsaußen,SC Freiburg,Marc-André ter Stegen,1:1,77',Borussia Mönchengladbach,SC Freiburg,1:1 ,2012/2013,1
11,Bernd Nehrig,Defensives Mittelfeld,SpVgg Greuther Fürth,Marc-André ter Stegen,1:0,10',SpVgg Greuther Fürth,Borussia Mönchengladbach,2:4 ,2012/2013,1
11,Vedad Ibisevic,Mittelstürmer,VfB Stuttgart,Ron-Robert Zieler,2:0,37',VfB Stuttgart,Hannover 96,2:4 ,2012/2013,1
12,Philipp Lahm,Rechter Verteidiger,FC Bayern München,Raphael Schäfer,2:0,57',FC Bayern München,1.FC Nürnberg,3:0 ,2010/2011,1
11,Jan Schlaudraff,Hängende Spitze,Hannover 96,Sven Ulreich,2:2,65',VfB Stuttgart,Hannover 96,2:4 ,2012/2013,1
11,Mohammed Abdellaoue,Mittelstürmer,Hannover 96,Sven Ulreich,2:4,73',VfB Stuttgart,Hannover 96,2:4 ,2012/2013,1
11,David Alaba,Innenverteidiger,FC Bayern München,Kevin Trapp,2:0,77',FC Bayern München,Eintracht Frankfurt,2:0 ,2012/2013,1
11,Thorben Marx,Defensives Mittelfeld,Borussia Mönchengladbach,Max Grün,2:4,90',SpVgg Greuther Fürth,Borussia Mönchengladbach,2:4 ,2012/2013,1
12,Jens Langeneke,Innenverteidiger,Fortuna Düsseldorf,Sebastian Mielitz,0:1,10',SV Werder Bremen,Fortuna Düsseldorf,2:1 ,2012/2013,1
4,Niclas Füllkrug,Mittelstürmer,SV Werder Bremen,Florian Müller,1:1,25',SC Freiburg,SV Werder Bremen,1:1 ,2020/2021,1
4,André Silva,Mittelstürmer,Eintracht Frankfurt,Timo Horn,0:1,45',1.FC Köln,Eintracht Frankfurt,1:1 ,2020/2021,1
4,Jonas Hofmann,Rechtsaußen,Borussia Mönchengladbach,Koen Casteels,1:0,78',Borussia Mönchengladbach,VfL Wolfsburg,1:1 ,2020/2021,1
5,Lucas Alario,Mittelstürmer,Bayer 04 Leverkusen,Rafal Gikiewicz,1:0,16',Bayer 04 Leverkusen,FC Augsburg,3:1 ,2020/2021,1
5,Sebastian Andersson,Mittelstürmer,1.FC Köln,Gregor Kobel,1:1,23',VfB Stuttgart,1.FC Köln,1:1 ,2020/2021,1
5,Jonas Hofmann,Rechtsaußen,Borussia Mönchengladbach,Robin Zentner,2:2,76',1.FSV Mainz 05,Borussia Mönchengladbach,2:3 ,2020/2021,1
5,Marcel Sabitzer,Zentrales Mittelfeld,RasenBallsport Leipzig,Alexander Schwolow,2:1,77',RasenBallsport Leipzig,Hertha BSC,2:1 ,2020/2021,1
6,Thomas Müller,Hängende Spitze,FC Bayern München,Timo Horn,0:1,13',1.FC Köln,FC Bayern München,1:2 ,2020/2021,1
6,Nicolás González,Linksaußen,VfB Stuttgart,Frederik Rönnow,1:1,56',FC Schalke 04,VfB Stuttgart,1:1 ,2020/2021,1
6,Max Kruse,Hängende Spitze,1.FC Union Berlin,Oliver Baumann,0:1,60',TSG 1899 Hoffenheim,1.FC Union Berlin,1:3 ,2020/2021,1
1,Jan Aage Fjörtoft,Mittelstürmer,Eintracht Frankfurt,Jürgen Wittmann,2:0,47',Eintracht Frankfurt,SpVgg Unterhaching,3:0 ,1999/2000,1
1,Janusz Góra,Libero,SSV Ulm 1846,Richard Golz,1:1,48',SSV Ulm 1846,SC Freiburg,1:1 ,1999/2000,1
2,Timo Lange,Rechter Verteidiger,FC Hansa Rostock,Andreas Reinke,1:0,5',FC Hansa Rostock,1.FC Kaiserslautern,4:2 ,1999/2000,1
2,Thomas Häßler,Offensives Mittelfeld,TSV 1860 München,Dr. Philipp Laux,2:1,23',TSV 1860 München,SSV Ulm 1846,4:1 ,1999/2000,1
2,Adel Sellimi,Mittelstürmer,SC Freiburg,Oka Nikolov,1:0,39',SC Freiburg,Eintracht Frankfurt,2:3 ,1999/2000,1
6,Enrico Kern,Mittelstürmer,FC Hansa Rostock,Tom Starke,2:0,53',FC Hansa Rostock,MSV Duisburg,2:0 ,2007/2008,1
2,Hans Jörg Butt,Torwart,Hamburger SV,Franz Wohlfahrt,2:0,55',Hamburger SV,VfB Stuttgart,3:0 ,1999/2000,1
2,Altin Rraklli,Mittelstürmer,SpVgg Unterhaching,Gintaras Stauce,1:0,68',SpVgg Unterhaching,MSV Duisburg,2:0 ,1999/2000,1
2,Hans Jörg Butt,Torwart,Hamburger SV,Franz Wohlfahrt,3:0,79',Hamburger SV,VfB Stuttgart,3:0 ,1999/2000,1
2,Andreas Möller,Offensives Mittelfeld,Borussia Dortmund,Claus Reitmaier,2:1,82',Borussia Dortmund,VfL Wolfsburg,2:1 ,1999/2000,1
6,Rafinha,Rechter Verteidiger,FC Schalke 04,Mathias Hain,3:0,65',FC Schalke 04,Arminia Bielefeld,3:0 ,2007/2008,1
6,Theofanis Gekas,Mittelstürmer,Bayer 04 Leverkusen,Robert Enke,0:3,74',Hannover 96,Bayer 04 Leverkusen,0:3 ,2007/2008,1
7,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Mathias Hain,0:1,54',Arminia Bielefeld,Hannover 96,0:2 ,2007/2008,1
5,Adel Sellimi,Mittelstürmer,SC Freiburg,Martin Pieckenhagen,2:0,27',SC Freiburg,FC Hansa Rostock,5:0 ,1999/2000,1
7,Marek Mintal,Offensives Mittelfeld,1.FC Nürnberg,René Adler,1:1,73',1.FC Nürnberg,Bayer 04 Leverkusen,1:2 ,2007/2008,1
8,Rafinha,Rechter Verteidiger,FC Schalke 04,Jaroslav Drobny,1:0,44',FC Schalke 04,Hertha BSC,1:0 ,2007/2008,1
8,Grafite,Mittelstürmer,VfL Wolfsburg,Frank Rost,1:1,57',Hamburger SV,VfL Wolfsburg,2:2 ,2007/2008,1
2,Soumaila Coulibaly,Offensives Mittelfeld,SC Freiburg,Mathias Schober,1:2,56',SC Freiburg,FC Hansa Rostock,2:2 ,2003/2004,1
8,Giannis Amanatidis,Mittelstürmer,Eintracht Frankfurt,Tomislav Piplica,2:2,79',FC Energie Cottbus,Eintracht Frankfurt,2:2 ,2007/2008,1
9,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Raphael Schäfer,0:1,7',VfB Stuttgart,Hannover 96,0:2 ,2007/2008,1
10,Zvjezdan Misimovic,Offensives Mittelfeld,1.FC Nürnberg,Markus Pröll,3:1,54',1.FC Nürnberg,Eintracht Frankfurt,5:1 ,2007/2008,1
2,Aílton,Mittelstürmer,SV Werder Bremen,Jörg Stiel,1:0,64',SV Werder Bremen,Borussia Mönchengladbach,1:1 ,2003/2004,1
3,Márcio Amoroso,Mittelstürmer,Borussia Dortmund,Michael Hofmann,2:0,56',Borussia Dortmund,TSV 1860 München,3:1 ,2003/2004,1
3,Martin Max,Mittelstürmer,FC Hansa Rostock,Oka Nikolov,3:0,66',FC Hansa Rostock,Eintracht Frankfurt,3:0 ,2003/2004,1
6,Levan Tskitishvili,Linkes Mittelfeld,SC Freiburg,Frank Rost,2:1,38',SC Freiburg,FC Schalke 04,2:1 ,2003/2004,1
6,Aílton,Mittelstürmer,SV Werder Bremen,Michael Hofmann,1:0,48',SV Werder Bremen,TSV 1860 München,2:1 ,2003/2004,1
7,Arie van Lent,Mittelstürmer,Borussia Mönchengladbach,Rein van Duijnhoven,1:0,5',Borussia Mönchengladbach,VfL Bochum,2:2 ,2003/2004,1
7,Fernando Meira,Innenverteidiger,VfB Stuttgart,Michael Hofmann,0:2,17',TSV 1860 München,VfB Stuttgart,0:3 ,2003/2004,1
9,Miroslav Klose,Mittelstürmer,1.FC Kaiserslautern,Martin Pieckenhagen,2:0,62',1.FC Kaiserslautern,Hamburger SV,4:0 ,2003/2004,1
9,Benjamin Lauth,Mittelstürmer,TSV 1860 München,Oka Nikolov,1:0,90',TSV 1860 München,Eintracht Frankfurt,1:0 ,2003/2004,1
11,Nuri Sahin,Defensives Mittelfeld,Borussia Dortmund,Jaroslav Drobny,1:0,50',Borussia Dortmund,Hertha BSC,2:0 ,2009/2010,1
12,Jiri Stajner,Hängende Spitze,Hannover 96,Frank Rost,2:2,88',Hannover 96,Hamburger SV,2:2 ,2009/2010,1
13,Naldo,Innenverteidiger,SV Werder Bremen,Simon Pouplin,0:5,73',SC Freiburg,SV Werder Bremen,0:6 ,2009/2010,1
13,Grafite,Mittelstürmer,VfL Wolfsburg,Raphael Schäfer,2:2,79',VfL Wolfsburg,1.FC Nürnberg,2:3 ,2009/2010,1
13,Pirmin Schwegler,Defensives Mittelfeld,Eintracht Frankfurt,Logan Bailly,1:2,86',Eintracht Frankfurt,Borussia Mönchengladbach,1:2 ,2009/2010,1
13,Vedad Ibisevic,Mittelstürmer,TSG 1899 Hoffenheim,Faryd Mondragón,0:4,90',1.FC Köln,TSG 1899 Hoffenheim,0:4 ,2009/2010,1
14,Nuri Sahin,Defensives Mittelfeld,Borussia Dortmund,Timo Hildebrand,1:2,79',TSG 1899 Hoffenheim,Borussia Dortmund,1:2 ,2009/2010,1
14,Stefan Kießling,Mittelstürmer,Bayer 04 Leverkusen,Jens Lehmann,4:0,87',Bayer 04 Leverkusen,VfB Stuttgart,4:0 ,2009/2010,1
15,Ivica Banovic,Defensives Mittelfeld,SC Freiburg,Diego Benaglio,1:2,51',VfL Wolfsburg,SC Freiburg,2:2 ,2009/2010,1
15,Rafinha,Rechter Verteidiger,FC Schalke 04,Jaroslav Drobny,2:0,90',FC Schalke 04,Hertha BSC,2:0 ,2009/2010,1
6,Vedad Ibisevic,Mittelstürmer,TSG 1899 Hoffenheim,Tim Wiese,4:3,62',SV Werder Bremen,TSG 1899 Hoffenheim,5:4 ,2008/2009,1
8,Patrick Helmes,Mittelstürmer,Bayer 04 Leverkusen,Oka Nikolov,0:1,6',Eintracht Frankfurt,Bayer 04 Leverkusen,0:2 ,2008/2009,1
8,Alex Frei,Mittelstürmer,Borussia Dortmund,Tim Wiese,0:1,59',SV Werder Bremen,Borussia Dortmund,3:3 ,2008/2009,1
9,Grafite,Mittelstürmer,VfL Wolfsburg,Michael Rensing,0:1,31',FC Bayern München,VfL Wolfsburg,4:2 ,2008/2009,1
9,Cícero,Zentrales Mittelfeld,Hertha BSC,Roman Weidenfeller,0:1,31',Borussia Dortmund,Hertha BSC,1:1 ,2008/2009,1
9,Theofanis Gekas,Mittelstürmer,Bayer 04 Leverkusen,Faryd Mondragón,2:0,84',Bayer 04 Leverkusen,1.FC Köln,2:0 ,2008/2009,1
10,Piotr Trochowski,Offensives Mittelfeld,Hamburger SV,Jens Lehmann,1:0,17',Hamburger SV,VfB Stuttgart,2:0 ,2008/2009,1
10,Grafite,Mittelstürmer,VfL Wolfsburg,Frederic Löhe,1:0,40',VfL Wolfsburg,Borussia Mönchengladbach,3:0 ,2008/2009,1
10,Vedad Ibisevic,Mittelstürmer,TSG 1899 Hoffenheim,Daniel Fernandes,1:2,70',VfL Bochum,TSG 1899 Hoffenheim,1:3 ,2008/2009,1
10,Zvjezdan Misimovic,Offensives Mittelfeld,VfL Wolfsburg,Frederic Löhe,3:0,75',VfL Wolfsburg,Borussia Mönchengladbach,3:0 ,2008/2009,1
6,Aílton,Mittelstürmer,SV Werder Bremen,Frank Juric,1:1,25',SV Werder Bremen,Bayer 04 Leverkusen,3:2 ,2002/2003,1
7,Erhan Albayrak,Linkes Mittelfeld,Arminia Bielefeld,Frank Rost,1:0,7',Arminia Bielefeld,FC Schalke 04,2:1 ,2002/2003,1
7,Gustavo Varela,Rechtes Mittelfeld,FC Schalke 04,Mathias Hain,1:1,19',Arminia Bielefeld,FC Schalke 04,2:1 ,2002/2003,1
8,Torsten Frings,Defensives Mittelfeld,Borussia Dortmund,Jörg Sievers,0:1,42',Hannover 96,Borussia Dortmund,0:3 ,2002/2003,1
11,Sasa Ciric,Mittelstürmer,1.FC Nürnberg,Jörg Stiel,2:0,22',1.FC Nürnberg,Borussia Mönchengladbach,2:1 ,2002/2003,1
12,Ionel Ganea,Mittelstürmer,VfB Stuttgart,Rein van Duijnhoven,2:2,86',VfB Stuttgart,VfL Bochum,3:2 ,2002/2003,1
12,Bernd Schneider,Rechtes Mittelfeld,Bayer 04 Leverkusen,Frank Rost,0:1,90',FC Schalke 04,Bayer 04 Leverkusen,0:1 ,2002/2003,1
13,Harry Koch,Innenverteidiger,1.FC Kaiserslautern,Pascal Borel,1:2,18',SV Werder Bremen,1.FC Kaiserslautern,5:3 ,2002/2003,1
13,Sasa Ciric,Mittelstürmer,1.FC Nürnberg,Martin Pieckenhagen,1:1,40',1.FC Nürnberg,Hamburger SV,1:3 ,2002/2003,1
15,Jörg Böhme,Linkes Mittelfeld,FC Schalke 04,Jörg Sievers,0:1,15',Hannover 96,FC Schalke 04,0:2 ,2002/2003,1
1,Mehmet Scholl,Offensives Mittelfeld,FC Bayern München,Gábor Király,1:0,9',FC Bayern München,Hertha BSC,4:1 ,2000/2001,1
1,Ulf Kirsten,Mittelstürmer,Bayer 04 Leverkusen,Claus Reitmaier,2:0,24',Bayer 04 Leverkusen,VfL Wolfsburg,2:0 ,2000/2001,1
1,Horst Heldt,Offensives Mittelfeld,Eintracht Frankfurt,Jürgen Wittmann,3:0,79',Eintracht Frankfurt,SpVgg Unterhaching,3:0 ,2000/2001,1
2,Levan Kobiashvili,Linkes Mittelfeld,SC Freiburg,Jürgen Wittmann,1:1,55',SpVgg Unterhaching,SC Freiburg,1:1 ,2000/2001,1
2,Vasile Miriuta,Offensives Mittelfeld,FC Energie Cottbus,Jens Lehmann,1:3,68',FC Energie Cottbus,Borussia Dortmund,1:4 ,2000/2001,1
3,Mehmet Scholl,Offensives Mittelfeld,FC Bayern München,Claus Reitmaier,1:0,19',FC Bayern München,VfL Wolfsburg,3:1 ,2000/2001,1
3,Horst Heldt,Offensives Mittelfeld,Eintracht Frankfurt,Martin Pieckenhagen,2:0,65',Eintracht Frankfurt,FC Hansa Rostock,4:0 ,2000/2001,1
3,Horst Heldt,Offensives Mittelfeld,Eintracht Frankfurt,Martin Pieckenhagen,3:0,79',Eintracht Frankfurt,FC Hansa Rostock,4:0 ,2000/2001,1
4,Charles Akonnor,Zentrales Mittelfeld,VfL Wolfsburg,Gábor Király,1:0,33',VfL Wolfsburg,Hertha BSC,2:1 ,2000/2001,1
5,Youri Djorkaeff,Offensives Mittelfeld,1.FC Kaiserslautern,Markus Pröll,1:0,10',1.FC Kaiserslautern,1.FC Köln,3:1 ,2000/2001,1
8,Max Kruse,Hängende Spitze,Borussia Mönchengladbach,Roman Weidenfeller,1:0,82',Borussia Mönchengladbach,Borussia Dortmund,2:0 ,2013/2014,1
9,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Ron-Robert Zieler,1:0,4',Borussia Dortmund,Hannover 96,1:0 ,2013/2014,1
9,Thomas Müller,Hängende Spitze,FC Bayern München,Christian Wetklo,4:1,82',FC Bayern München,1.FSV Mainz 05,4:1 ,2013/2014,1
10,Vedad Ibisevic,Mittelstürmer,VfB Stuttgart,Raphael Schäfer,1:0,3',VfB Stuttgart,1.FC Nürnberg,1:1 ,2013/2014,1
10,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Ron-Robert Zieler,0:1,10',Hannover 96,TSG 1899 Hoffenheim,1:4 ,2013/2014,1
11,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Sebastian Mielitz,0:1,20',SV Werder Bremen,Hannover 96,3:2 ,2013/2014,1
11,Aaron Hunt,Offensives Mittelfeld,SV Werder Bremen,Ron-Robert Zieler,1:1,25',SV Werder Bremen,Hannover 96,3:2 ,2013/2014,1
11,Eric Maxim Choupo-Moting,Mittelstürmer,1.FSV Mainz 05,Marwin Hitz,2:1,59',FC Augsburg,1.FSV Mainz 05,2:1 ,2013/2014,1
12,Adrián Ramos,Mittelstürmer,Hertha BSC,Koen Casteels,0:2,53',TSG 1899 Hoffenheim,Hertha BSC,2:3 ,2013/2014,1
12,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Thomas Kraft,1:2,70',TSG 1899 Hoffenheim,Hertha BSC,2:3 ,2013/2014,1
1,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Andreas Reinke,1:0,12',TSV 1860 München,1.FC Kaiserslautern,1:2 ,1998/1999,1
1,Marco Weißhaupt,Offensives Mittelfeld,SC Freiburg,Thomas Ernst,0:1,47',VfL Bochum,SC Freiburg,1:2 ,1998/1999,1
2,Lodewijk Roembiak,Defensives Mittelfeld,SV Werder Bremen,Andreas Hilfiker,1:1,22',SV Werder Bremen,1.FC Nürnberg,2:3 ,1998/1999,1
2,Marijan Kovacevic,Innenverteidiger,VfL Wolfsburg,Martin Pieckenhagen,1:1,30',FC Hansa Rostock,VfL Wolfsburg,3:3 ,1998/1999,1
2,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Oka Nikolov,2:1,75',Eintracht Frankfurt,TSV 1860 München,2:3 ,1998/1999,1
2,Stefan Effenberg,Zentrales Mittelfeld,FC Bayern München,Thomas Gill,3:1,86',FC Bayern München,MSV Duisburg,3:1 ,1998/1999,1
3,Stefan Effenberg,Zentrales Mittelfeld,FC Bayern München,Martin Pieckenhagen,1:0,50',FC Bayern München,FC Hansa Rostock,6:1 ,1998/1999,1
3,Kjetil Rekdal,Defensives Mittelfeld,Hertha BSC,Mathias Schober,1:0,65',Hertha BSC,FC Schalke 04,2:0 ,1998/1999,1
3,Krasimir Balakov,Offensives Mittelfeld,VfB Stuttgart,Andreas Reinke,4:0,86',VfB Stuttgart,1.FC Kaiserslautern,4:0 ,1998/1999,1
4,Hans Jörg Butt,Torwart,Hamburger SV,Claus Reitmaier,1:0,39',Hamburger SV,VfL Wolfsburg,1:1 ,1998/1999,1
6,Robert Lewandowski,Mittelstürmer,FC Bayern München,Koen Casteels,1:0,33',FC Bayern München,VfL Wolfsburg,2:2 ,2017/2018,1
6,Pablo de Blasis,Linksaußen,1.FSV Mainz 05,Rune Jarstein,1:0,54',1.FSV Mainz 05,Hertha BSC,1:0 ,2017/2018,1
7,Thorgan Hazard,Linksaußen,Borussia Mönchengladbach,Philipp Tschauner,2:1,90',Borussia Mönchengladbach,Hannover 96,2:1 ,2017/2018,1
8,Jean-Kévin Augustin,Mittelstürmer,RasenBallsport Leipzig,Roman Bürki,1:3,49',Borussia Dortmund,RasenBallsport Leipzig,2:3 ,2017/2018,1
8,Leon Goretzka,Zentrales Mittelfeld,FC Schalke 04,Rune Jarstein,0:1,54',Hertha BSC,FC Schalke 04,0:2 ,2017/2018,1
8,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Péter Gulácsi,2:3,64',Borussia Dortmund,RasenBallsport Leipzig,2:3 ,2017/2018,1
8,Sejad Salihovic,Zentrales Mittelfeld,Hamburger SV,René Adler,3:2,90',1.FSV Mainz 05,Hamburger SV,3:2 ,2017/2018,1
9,Janik Haberer,Zentrales Mittelfeld,SC Freiburg,Rune Jarstein,1:0,52',SC Freiburg,Hertha BSC,1:1 ,2017/2018,1
9,Sébastien Haller,Mittelstürmer,Eintracht Frankfurt,Roman Bürki,1:2,64',Eintracht Frankfurt,Borussia Dortmund,2:2 ,2017/2018,1
9,Kerem Demirbay,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Koen Casteels,0:1,73',VfL Wolfsburg,TSG 1899 Hoffenheim,1:1 ,2017/2018,1
13,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Hans Jörg Butt,1:1,45',Bayer 04 Leverkusen,FC Bayern München,1:1 ,2010/2011,1
13,Lukas Podolski,Hängende Spitze,1.FC Köln,Sven Ulreich,0:1,82',VfB Stuttgart,1.FC Köln,0:1 ,2010/2011,1
14,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Daniel Haas,0:2,11',TSG 1899 Hoffenheim,Bayer 04 Leverkusen,2:2 ,2010/2011,1
14,Ivo Ilicevic,Linksaußen,1.FC Kaiserslautern,Manuel Neuer,4:0,76',1.FC Kaiserslautern,FC Schalke 04,5:0 ,2010/2011,1
14,Gylfi Sigurdsson,Offensives Mittelfeld,TSG 1899 Hoffenheim,René Adler,2:2,90',TSG 1899 Hoffenheim,Bayer 04 Leverkusen,2:2 ,2010/2011,1
15,André Schürrle,Linksaußen,1.FSV Mainz 05,Oka Nikolov,1:1,42',Eintracht Frankfurt,1.FSV Mainz 05,2:1 ,2010/2011,1
15,Theofanis Gekas,Mittelstürmer,Eintracht Frankfurt,Christian Wetklo,2:1,84',Eintracht Frankfurt,1.FSV Mainz 05,2:1 ,2010/2011,1
16,Philipp Lahm,Rechter Verteidiger,FC Bayern München,Thomas Kessler,2:0,71',FC Bayern München,FC St. Pauli,3:0 ,2010/2011,1
17,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Oliver Baumann,1:0,16',Bayer 04 Leverkusen,SC Freiburg,2:2 ,2010/2011,1
17,Matthias Lehmann,Defensives Mittelfeld,FC St. Pauli,Heinz Müller,1:2,33',FC St. Pauli,1.FSV Mainz 05,2:4 ,2010/2011,1
1,Michael Zeyer,Zentrales Mittelfeld,MSV Duisburg,Andreas Menger,1:2,69',1.FC Köln,MSV Duisburg,3:2 ,1997/1998,1
3,Thomas Häßler,Offensives Mittelfeld,Karlsruher SC,Zdenko Miletic,1:0,26',Karlsruher SC,Arminia Bielefeld,3:1 ,1997/1998,1
3,Andreas Herzog,Offensives Mittelfeld,SV Werder Bremen,Bernd Meier,1:1,26',SV Werder Bremen,TSV 1860 München,3:3 ,1997/1998,1
5,Michael Zeyer,Zentrales Mittelfeld,MSV Duisburg,Claus Reitmaier,0:0,67',Karlsruher SC,MSV Duisburg,1:2 ,1997/1998,1
5,Thomas Stickroth,Rechter Verteidiger,VfL Bochum,Andreas Reinke,1:1,68',VfL Bochum,1.FC Kaiserslautern,1:3 ,1997/1998,1
6,Michael Zeyer,Zentrales Mittelfeld,MSV Duisburg,Oliver Reck,2:0,10',MSV Duisburg,SV Werder Bremen,2:1 ,1997/1998,1
6,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Dirk Heinen,1:2,71',Bayer 04 Leverkusen,TSV 1860 München,2:2 ,1997/1998,1
7,Michael Zeyer,Zentrales Mittelfeld,MSV Duisburg,Bernd Meier,0:1,4',TSV 1860 München,MSV Duisburg,0:1 ,1997/1998,1
7,Stefan Kuntz,Mittelstürmer,Arminia Bielefeld,Dirk Heinen,1:0,12',Arminia Bielefeld,Bayer 04 Leverkusen,2:1 ,1997/1998,1
7,Martin Wagner,Linkes Mittelfeld,1.FC Kaiserslautern,Claus Reitmaier,0:2,23',Karlsruher SC,1.FC Kaiserslautern,2:4 ,1997/1998,1
6,Michael Schjönberg,Innenverteidiger,1.FC Kaiserslautern,Adam Matysek,0:1,27',Bayer 04 Leverkusen,1.FC Kaiserslautern,3:1 ,1999/2000,1
6,Krasimir Balakov,Offensives Mittelfeld,VfB Stuttgart,Oliver Kahn,0:1,75',FC Bayern München,VfB Stuttgart,0:1 ,1999/2000,1
